x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,3,3928,1734861,-140332,133,52,50,12,3932,1875193,1468,12,12,"(670, 770)","(458, 558)",0_0,6
1,3,3903,1718205,-152961,130,52,50,12,3911,1871166,1488,12,12,"(670, 770)","(458, 558)",0_0,7
1,3,3841,1692232,-140320,132,52,50,12,3846,1832552,1427,12,12,"(670, 770)","(458, 558)",0_0,8
1,3,3899,1718189,-144084,120,52,50,12,3906,1862273,1464,12,12,"(670, 770)","(458, 558)",0_0,9
1,3,3819,1685167,-129756,134,52,50,12,3826,1814923,1346,12,12,"(670, 770)","(458, 558)",0_0,10
1,3,3855,1699841,-132630,118,52,50,12,3864,1832471,1348,12,12,"(670, 770)","(458, 558)",0_0,11
1,3,3871,1710844,-145018,128,52,50,12,3908,1855862,1417,12,12,"(670, 770)","(458, 558)",0_0,12
1,3,3854,1698123,-128073,130,52,50,12,3855,1826196,1357,12,12,"(670, 770)","(458, 558)",0_0,13
1,3,3921,1729141,-129413,128,52,50,12,3932,1858554,1371,12,12,"(670, 770)","(458, 558)",0_0,14
1,3,3796,1676820,-132030,132,52,50,12,3812,1808850,1369,12,12,"(670, 770)","(458, 558)",0_0,15
1,3,3857,1700108,-128924,133,52,50,12,3859,1829032,1383,12,12,"(670, 770)","(458, 558)",0_0,16
1,3,3845,1696247,-118941,127,52,50,12,3838,1815188,1324,12,12,"(670, 770)","(458, 558)",0_0,17
1,3,3891,1714260,-81632,127,52,50,12,3876,1795892,937,12,12,"(670, 770)","(458, 558)",0_0,18
1,3,3880,1711271,-75203,130,52,50,12,3874,1786474,849,12,12,"(670, 770)","(458, 558)",0_0,19
1,4,4108,1814739,-104503,129,51,51,12,4106,1919242,1151,12,12,"(769, 869)","(458, 558)",0_0,0
1,4,4016,1773042,-110522,129,51,51,12,4018,1883564,1175,12,12,"(769, 869)","(458, 558)",0_0,1
1,4,3975,1753288,-110207,136,51,51,12,3987,1863495,1131,12,12,"(769, 869)","(458, 558)",0_0,2
1,4,4014,1765683,-104012,138,51,51,12,4001,1869695,1143,12,12,"(769, 869)","(458, 558)",0_0,3
1,4,3977,1758872,-109651,138,51,51,12,3980,1868523,1196,12,12,"(769, 869)","(458, 558)",0_0,4
1,4,3933,1738019,-104572,132,51,51,12,3938,1842591,1148,12,12,"(769, 869)","(458, 558)",0_0,5
1,4,3952,1739990,-107373,130,51,51,12,3951,1847363,1123,12,12,"(769, 869)","(458, 558)",0_0,6
1,4,3940,1733442,-105256,141,51,51,12,3926,1838698,1153,12,12,"(769, 869)","(458, 558)",0_0,7
1,4,3890,1709000,-95145,133,51,51,12,3861,1804145,1094,12,12,"(769, 869)","(458, 558)",0_0,8
1,4,3913,1728894,-104785,131,51,51,12,3927,1833679,1113,12,12,"(769, 869)","(458, 558)",0_0,9
1,4,3837,1690978,-98834,138,51,51,12,3847,1789812,1024,12,12,"(769, 869)","(458, 558)",0_0,10
1,4,3864,1705613,-96959,130,51,51,12,3881,1802572,1003,12,12,"(769, 869)","(458, 558)",0_0,11
1,4,3901,1722053,-98114,137,51,51,12,3913,1820167,1058,12,12,"(769, 869)","(458, 558)",0_0,12
1,4,3846,1698158,-89542,137,51,51,12,3849,1787700,1006,12,12,"(769, 869)","(458, 558)",0_0,13
1,4,3937,1737382,-85195,140,51,51,12,3933,1822577,1003,12,12,"(769, 869)","(458, 558)",0_0,14
1,4,3815,1680751,-94846,140,51,51,12,3820,1775597,1010,12,12,"(769, 869)","(458, 558)",0_0,15
1,4,3852,1699372,-97601,141,51,51,12,3871,1796973,999,12,12,"(769, 869)","(458, 558)",0_0,16
1,4,3837,1690662,-92253,133,51,51,12,3844,1782915,962,12,12,"(769, 869)","(458, 558)",0_0,17
1,4,3873,1707482,-60511,141,51,51,12,3874,1767993,716,12,12,"(769, 869)","(458, 558)",0_0,18
1,4,3879,1710678,-57248,140,51,51,12,3878,1767926,679,12,12,"(769, 869)","(458, 558)",0_0,19
1,5,4124,1819125,-242397,176,50,48,12,4249,2061522,1788,12,12,"(869, 969)","(458, 558)",0_0,0
1,5,4019,1776466,-251969,177,50,48,12,4175,2028435,1775,12,12,"(869, 969)","(458, 558)",0_0,1
1,5,3968,1754779,-246521,180,50,48,12,4112,2001300,1769,12,12,"(869, 969)","(458, 558)",0_0,2
1,5,3999,1766414,-253072,178,50,48,12,4152,2019486,1819,12,12,"(869, 969)","(458, 558)",0_0,3
1,5,3984,1760694,-258124,179,50,48,12,4144,2018818,1842,12,12,"(869, 969)","(458, 558)",0_0,4
1,5,3924,1733281,-251455,194,50,48,12,4086,1984736,1786,12,12,"(869, 969)","(458, 558)",0_0,5
1,5,3927,1742550,-256713,195,50,48,12,4120,1999263,1813,12,12,"(869, 969)","(458, 558)",0_0,6
1,5,3913,1729968,-264149,202,50,48,12,4092,1994117,1836,12,12,"(869, 969)","(458, 558)",0_0,7
1,5,3836,1694965,-265448,197,50,48,12,4043,1960413,1811,12,12,"(869, 969)","(458, 558)",0_0,8
